Africa's exports 2000-2023: destination and composition
"Mirror data — the world’s reported imports from Africa (WITS tradestats-trade, MPRT-TRD-VL). All 54 African states, every year. US$ thousand."

Year,Africa exports,To China,To the seven,Raw materials,China %,Seven %,Raw %
2000,159378229.706838,5554740.285,67847599.780434,83532580.173059,0.034853,0.425702,0.524115
2001,155136126.108733,4792722.103,67494931.780054,74042682.694787,0.030894,0.435069,0.477276
2002,156703951.040505,5427019.057,67596244.373549,76165852.79067,0.034632,0.431363,0.486049
2003,193808219.99561,8359816.202,80350162.475774,98777712.50189,0.043134,0.414586,0.509667
2004,251024201.071933,15645529.172,95242549.365309,136439398.668133,0.062327,0.379416,0.543531
2005,313719737.274536,21061189.51,115177137.587364,183325717.564652,0.067134,0.367134,0.584361
2006,399016086.966485,28770603.768,146415833.474223,233019087.129082,0.072104,0.366942,0.583984
2007,464877093.054193,36358304.679,158631633.954292,268566672.557691,0.078211,0.341233,0.577715
2008,616131425.704188,55964924.28,210847048.919014,372042283.621874,0.090833,0.342211,0.603836
2009,414288888.798492,43329954.325,136708116.372124,223706297.721163,0.104589,0.329983,0.539977
2010,522325814.709945,67065583.568,153553522.273318,296556441.864635,0.128398,0.29398,0.567761
2011,642885257.030494,93233362.973,178523134.776673,355157438.186573,0.145023,0.277691,0.552443
2012,682239653.011067,111689452.856,194557044.506583,380376323.099923,0.16371,0.285174,0.557541
2013,655708499.523775,115354083.322,182439259.54198,351658055.560336,0.175923,0.278232,0.536302
2014,606760862.645317,114108343.122,164802008.999247,315925904.79608,0.188061,0.271609,0.520676
2015,444108114.527812,69528663.297,119426630.126194,199430580.728119,0.156558,0.268913,0.449059
2016,392768578.33433,56185023.461,106996479.52664,166793974.970714,0.143049,0.272416,0.424662
2017,461333709.15509,75335536.041,121869447.71869,214929999.545016,0.163299,0.264168,0.465888
2018,548021499.983569,98615504.043,146933318.290743,267005160.082113,0.179948,0.268116,0.487217
2019,519239221.017092,95037859.005,138469204.22805,244918956.541527,0.183033,0.266677,0.471688
2020,426299160.923626,72909124.209,101766935.510937,172869581.23436,0.171028,0.238722,0.405512
2021,605822583.327591,105005837.35,151468642.301115,256549023.830811,0.173328,0.250021,0.423472
2022,742342222.743102,116535190.94,206621222.7868,318335620.712474,0.156983,0.278337,0.428826
2023,681493854.376436,108255052.671,184388388.2937,281995033.322663,0.15885,0.270565,0.41379
