"Underlying values, US$ thousand, exactly as returned by the WITS SDMX API"
No rounding applied to source figures.

TOTAL EXPORTS (product = Total)
Country,2019,2020,2021,2022,2023
Kuwait,64482124.989,40166147.337,63129693.952,99775063.58552,83979908.827865
Saudi Arabia,261603290.344984,173853852.369653,276179086.621923,411184219.840928,320018426.729139
Oman,38723580.348428,33479358.823008,44590926.520592,66063352.835493,59010531.457714
UAE,389427993.903956,335296907.86973,425159796.503562,515621189.049101,570245383.584532
Qatar,72934956.29315,51504158.057751,87203291.18887,130964472.574266,97751493.996069
Bahrain,14167263.135073,11559232.44305,18198973.799994,22252183.289268,12406927.759432
GCC total,841339209.014591,645859656.900191,914461768.586941,1245860481.17458,1143412672.35475

Country,2019,2020,2021,2022,2023
Country,2019,2020,2021,2022,2023
Kuwait,46673734.649,28819565.495,41953760.261,68236869.808733,50019066.264104
Saudi Arabia,169190686.8017,102751426.082946,164581922.81479,263894721.391159,180230436.159525
Oman,21018846.779292,14670565.902013,20773180.201563,33776153.317759,28871185.257803
UAE,141193099.510234,116451749.615177,119241279.999309,176523325.31507,182150946.864884
Qatar,12743647.246523,7315214.189338,12971795.269822,19695180.296084,17240409.610766
Bahrain,1571147.30818,1010766.44467,2571148.794177,2354965.663275,2020472.899607
GCC total,392391162.294929,271019287.729144,362093087.340661,564481215.79208,460532517.056689
